Y1_STATEFIPS,Y1_COUNTYFIPS,Y2_STATEFIPS,Y2_COUNTYFIPS,Y2_STATE,Y2_COUNTYNAME,N1,N2,AGI,n_returns,n_individuals,agi_thousands,origin_fips5,dest_fips5,mean_agi
36,085,12,057,FL,Hillsborough County,101,178,7634,101,178,7634,36085,12057,75584.15841584158
36,085,12,095,FL,Orange County,95,190,7643,95,190,7643,36085,12095,80452.63157894737
36,085,12,086,FL,Miami-Dade County,92,140,9310,92,140,9310,36085,12086,101195.65217391304
36,085,12,101,FL,Pasco County,65,136,4955,65,136,4955,36085,12101,76230.76923076923
36,085,12,071,FL,Lee County,64,108,7001,64,108,7001,36085,12071,109390.625
36,085,12,111,FL,St. Lucie County,61,113,5812,61,113,5812,36085,12111,95278.68852459016
36,085,12,115,FL,Sarasota County,60,113,5746,60,113,5746,36085,12115,95766.66666666667
36,085,12,105,FL,Polk County,57,113,3925,57,113,3925,36085,12105,68859.64912280702
36,085,12,081,FL,Manatee County,55,117,6591,55,117,6591,36085,12081,119836.36363636363
36,085,12,021,FL,Collier County,54,109,9466,54,109,9466,36085,12021,175296.2962962963
36,085,12,103,FL,Pinellas County,47,69,3622,47,69,3622,36085,12103,77063.82978723405
36,085,12,097,FL,Osceola County,43,84,2458,43,84,2458,36085,12097,57162.79069767442
36,085,12,109,FL,St. Johns County,38,108,4447,38,108,4447,36085,12109,117026.31578947368
36,085,12,053,FL,Hernando County,32,49,1765,32,49,1765,36085,12053,55156.25
36,085,12,127,FL,Volusia County,31,45,2163,31,45,2163,36085,12127,69774.19354838709
